angle,count,average_distance
251,14,0.6846855760503879
252,14,0.8229251557269921
253,2,0.5258436811038414
254,6,0.5257336236810642
255,2,0.5748331791430465
256,9,0.6796050785227278
257,3,0.4733814244569601
258,2,0.46045344820765655
259,1,nan
260,1,nan
261,1,nan
262,0,nan
263,0,nan
264,0,nan
265,2,0.17525325546619674
266,1,nan
267,0,nan
268,2,0.14792577203706536
269,1,nan
270,0,nan
271,1,nan
272,1,nan
273,0,nan
274,0,nan
275,0,nan
276,0,nan
277,1,nan
278,0,nan
279,0,nan
280,0,nan
281,1,nan
282,0,nan
283,0,nan
284,2,0.1468004602641071
285,3,0.15511735438494959
286,2,0.1993861825136667
287,0,nan
288,1,nan
289,2,0.18355463902292707
290,4,0.181177217632427
291,6,0.19897066511213068
292,1,nan
293,4,0.17299093768445928
294,6,0.1575642411531972
295,2,0.2055927065053258
296,1,nan
297,2,0.18362762571769492
298,2,0.20003006839694723
299,0,nan
300,0,nan
301,3,0.21031823809304137
302,1,nan
303,5,0.218849971541106
304,5,0.21825844321286453
305,1,nan
306,3,0.2122295320339754
307,9,0.2105046248600271
308,5,0.22369801321299138
309,12,0.23822835748927176
310,26,0.24724001329366826
311,16,0.25623332104916047
312,10,0.23312775263848096
313,13,0.24952677398773979
314,21,0.2529667350573939
315,22,0.2708129868743404
316,17,0.28665845953877317
317,8,0.2766715782173817
318,26,0.2920965907190097
319,24,0.29249788772864066
320,25,0.29518281221612686
321,23,0.29846670050059215
322,21,0.3013330111413514
323,16,0.31242198189823966
324,24,0.3245919335379172
325,12,0.3182368666622205
326,9,0.3392088689308206
327,14,0.3534725754021184
328,17,0.35351646191686864
329,11,0.3568008204382091
330,7,0.3236693398845637
331,48,0.38046512180363984
332,52,0.38164883630108287
333,40,0.49847827196776995
334,56,0.45003108415334153
335,49,0.49183694333600014
336,60,0.4840347054353494
337,46,0.550388028567909
338,77,0.5839496910256401
339,163,0.8039503453348436
340,159,0.8547327096902856
341,72,0.6638923128458845
342,61,0.6798464135961243
343,122,0.6739304023307156
344,142,0.9089643739605966
345,120,0.8951251754036774
346,160,0.8710191287153105
347,149,1.0110836695236545
348,160,1.014329830943571
349,207,0.9853798117784104
350,263,1.1076254818964473
351,345,1.225753246351093
352,135,1.3891675632788199
353,63,1.533882662124534
354,31,1.4584909798116656
355,36,1.5691904306658726
356,40,1.4575732641816086
357,34,1.426093570747883
358,39,1.4603545565425513
359,69,1.5891112201853081
